Column name,Description,size per Serving
PartA_SoyaProducts_1201-numberOfServingsEatenPerMonth,number of servings of soya beancurd(tau huay) eaten per month,1 rice bowl
A1_1,Have you ever smoked cigarettes in your lifetime?1. Yes 2. No,
A2_1_500-freq,number of servings of alcohol consumed per month (1 serving),
E1_1-weekdaysHrs,number of hours per day spend on sitting while doing activities during weekdays,
E1_1-weekendsHrs,number of hours per day spend on sitting while doing activities during weekends,
E1_2-weekdaysHrs,total number of time spend on watching tv or movies for the past one week (weekdays),
E1_2-weekendsHrs,total number of time spend on watching tv or movies for the past one week (weekends),
E1_3,How often do you use stairs when an elevator is available? 1. Often 2. Not very often 3. Seldom 4. Never,
E1_4_Walking_1-timesPerWeek,total number of time spend on walking for pleasure or exercise (eg. Walking with children or pets excluding walking to get from one place to another place) per week,
E1_4_Walking_2-timesPerWeek,total number of time spend on cycling for pleasure per week,
E1_4_Conditioning_9-timesPerWeek,"total number of time spend on home exercise (eg. Sit ups, push-ups) per week",
E1_4_Conditioning_10-timesPerWeek,total number of time spend on health club exercise classes (eg. Aerobics) per week,
E1_4_Conditioning_11-timesPerWeek,total number of time spend on job/walk combinations per week,
E1_4_Conditioning_12-timesPerWeek,"total number of time spend on balance exercises (eg. Taiqi, qigong, breathing exercises) per week",
E1_4_Conditioning_13-timesPerWeek,total number of time spend on runnning per week,
E1_4_Conditioning_14-timesPerWeek,total number of time spend on weight lifting per week,
E1_4_Water_18-timesPerWeek,total number of time spend on canoeing or rowing for pleasure per week,
E1_4_Water_19-timesPerWeek,total number of time spend on canoeing or rowing for competition per week,
E1_4_Water_20-timesPerWeek,total number of time spend on swimming (at least 50m in a pool) per week,
E1_4_Water_21-timesPerWeek,total number of time spend on swimming at the beach per week,
E1_4_Sports_24-timesPerWeek,total number of time spend on bowling per week,
E1_4_Sports_26-timesPerWeek,total number of time spend on table tennis per week,
E1_4_Sports_27-timesPerWeek,total number of time spend on tennis (single) per week,
E1_4_Sports_28-timesPerWeek,total number of time spend on tennis(doubles) per week,
E1_4_Sports_32-timesPerWeek,total number of time spend on badminton per week,
E1_4_Sports_33-timesPerWeek,"total number of time spend on basketball/netball (non-game, ie. Not keeping score) per week",
E1_4_Sports_34-timesPerWeek,"total number of time spend on basketball/netball (game-play, keeping score) per week",
E1_4_Sports_37-timesPerWeek,total number of time spend on soccer/football per week,
E1_4_Sports_42_2-timesPerWeek,total number of time spend on golf (walking and pulling clubs on cart) per week,
E1_4_Sports_42_3-timesPerWeek,total number of time spend on gold (walking and carrying clubs) per week,
E2,"In the last 3 months, did you hold any job that last for more than 1 month? 1. Yes. 2. No (go to E3)",
E3_Activity_43-daysPerWeek,"total number of days spend on shopping (eg. Groceries, clothes, excluding the time to get there) per week",
E3_Activity_44-minsPerDay,total number of minutes spend on stair climbing while carrying a load (eg. Groceries bag) per day,
E3_Activity_45-minsPerDay,"total number of minutes spend on laundry (time loading, unloading, hanging or folding only) per day",
E3_Activity_46-minsPerDay,"total number of minutes spend on light housework (tidying/dusting, sweeping, collecting trash in the home, polishing, indoor gardening, ironing) per day",
E3_Activity_48-minsPerDay,"total number of minutes spend on heavy housework (vaccuming, mopping, scrubbing floors and walls, moving furniture, boxes and garbage cans) per day",
E3_Activity_49-minsPerDay,"total number of minutes spend on food preparation on (10+ minutes in duration, eg. chooping, stirring, moving, about to get food items/pans etc) per day",
E3_Activity_50-minsPerDay,"total number of minutes spend on food serving (10+ minutes duration, eg. Setting table, carrying food, serving food) per day",
E3_Activity_51-minsPerDay,"total number of minutes spend on dish washing (10+ minutes in duration,eg. Clearning table, washing/drying dishes, putting dishes away) per day",
E3_Activity_52-minsPerDay,"total of number of minutes spend on heavy home repair (eg. painting, carpentry, washing/polishing car) per day",
E3_Yardwork_56-minsPerDay,"total number of minutes spend on gardening (eg. planting, weeding, digging, or hoeing) per day",
E3_Yardwork_57-minsPerDay,total number of minutes spend on lawn mowing (walking only) per day,
E3_Yardwork_58-minsPerDay,"total number of minutes spend on clearing walks/driveway (eg. Sweeping, shoveling, raking) per day",
E3_LookingAfterYoungNOld_59-minsPerDay,"total number of minutes spend on older or disabled person (eg. Lifting, pushing wheelchair) per day",
E3_LookingAfterYoungNOld_60-minsPerDay,"total number of minutes spend on childcare (eg. Lifting, carrying or pushing stroller) per day",
E4_1,Do you walk for at least 10 minutes continuousky to get to and from the places 1. Yes 2. No ,
E4_5,Do you use a bicycle (pedal cycle) for at least 10 minutes continously to get to and from places? 1. Yes 2. No,
StationI_Measurement_Height-Result,Height (cm),
StationI_Measurement_Weight-Result,Weight (kg),
BMI,BMI (kg/m_),
StationI_Measurement_Waist-Result,Waist Circumference (cm),
StationI_Measurement_HipCir-Result,Hip Circumference (cm),
BloodPressure_SysDia-Systolic,Systolic Blood Pressure (mmHg),
BloodPressure_SysDia-Diastolic,Diastolic Blood Pressure (mmHg),
StationIII_Q1-R5,Monofilament 5.07 sensory test (Right),
StationIII_Q1-L5,Monofilament 5.07 sensory test (Left),
StationIII_Q2-ApexR,Neurothesiometer Reading (Mv)- Right Apex,
StationIII_Q2-ApexL,Neurothesiometer Reading (Mv)- Left Apex,
StationIII_Q2-MedR,Neurothesiometer Reading (Mv)- Right medial malleolus,
StationIII_Q2-MedL,Neurothesiometer Reading (Mv)- Left medial malleolus,
StationIII_Q3-BP,Systolic Brachial Blood pressure (mmHg)- by Doppler,
StationIII_Q4-R,Systolic Right Ankle Blood pressure (mmHg)- by Doppler,
StationIII_Q4-L,Systolic Left Ankle Blood pressure (mmHg)- by Doppler,
StationV_Bicep,Bicep circumference (mm),
StationV_Tricep,Tricep circumference (mm),
StationV_SubScapula,Subscapularis skinfold measurement (mm),
StationV_SupraIliac,Suprailiac skinfold measurement (mm),
StationV_ParaUmbilicus,ParaUmbilical skinfold measurement (mm),
StationV_Thigh,Thigh circumference (mm),
StationV_Calf,Calf circumference (mm),
CASPro-CASP,Central Aortic Systolic Pressure (CASP) using CASPro¨ (mmHg),
CASPro-Sys,Systolic CASP using CASPro¨ (mmHg),
CASPro-Dia,Diastolic CASP using CASPro¨ (mmHg),
CASPro-MAP,Mean arterial Pressure using CASPro¨ (mmHg),
CASPro-PR,Pulse rate using CASPro¨ (bpm),
CASPro-rAI,radial Augmentation Index using CASPro¨ (%),
CASPro-rAP,radial Augmentation Pressure using CASPro¨ (mmHg),
CASPro-PRT,Peak Relative Time using CASPro¨ (miliseconds) ,
GLU_1,Fasting Blood Glucose (mmol/L),
CRE_1,Serum Creatinine,
CHO_1,Total Cholesterol (mmol/L),
TG_1,Triglycerides (mmol/L),
HDL_1,HDL (mmol/L),
CHDL_1,Ratio of Total blood cholesterol: HDL ,
LDLM_1,LDL (mmol/L),
HbA1c_1,"Glycosylated Haemoglobin, (DCCT %)",
